name	smiles
&beta;-D-galactopyranose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
UDP-&alpha;-D-glucose	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Fe-coproporphyrin III	CC1=C(CCC(=O)O)C2=[N+]3C1=Cc1c(CCC(=O)O)c(C)c4n1[Fe-2]31n3c(c(C)c(CCC(=O)O)c3=CC3=[N+]1C(=C4)C(C)=C3CCC(=O)O)=C2
riboflavin	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
(<i>R</i>)-4'-phosphopantothenate	CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)O
15-methylhexadecanoate	CC(C)CCCCCCCCCCCCCC(=O)O
<i>N</i>-carbamoyl-L-aspartate	NC(=O)N[C@@H](CC(=O)O)C(=O)O
spermidine	NCCCCNCCCN
carbon monoxide	[C-]#[O+]
ferroheme <i>a</i>	C=CC1=C(C)C2=Cc3c([C@@H](O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(C)c4n3[Fe-2]35n6c(c(C)c(CCC(=O)O)c6=CC6=[N+]3C(=C4)C(C=O)=C6CCC(=O)O)=CC1=[N+]25
